Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"16.11.2019, 12:37:09",Kudos,Aktivität,2867166817
"16.11.2019, 12:37:13",Kudos,Aktivität,2866092405
"16.11.2019, 12:37:21",Kudos,Aktivität,2865894794
"18.11.2019, 08:15:59",Kudos,Aktivität,2870801445
"18.11.2019, 08:16:19",Kudos,Aktivität,2869045086
"21.11.2019, 21:07:14",Kudos,Aktivität,2880470540
"24.11.2019, 09:44:07",Kudos,Aktivität,2885351062
"24.11.2019, 09:44:32",Kudos,Aktivität,2885041323
"24.11.2019, 09:44:37",Kudos,Aktivität,2885057240
"30.11.2019, 21:21:22",Kudos,Aktivität,2901320753
"30.11.2019, 21:21:27",Kudos,Aktivität,2900080745
"02.12.2019, 21:58:36",Kudos,Aktivität,2906345486
"02.12.2019, 21:58:50",Kudos,Aktivität,2903736713
"02.12.2019, 21:58:51",Kudos,Aktivität,2905633247
"02.12.2019, 21:58:54",Kudos,Aktivität,2903727842
"07.12.2019, 01:31:48",Kudos,Aktivität,2914545190
"07.12.2019, 16:10:11",Kudos,Aktivität,2916217235
"08.12.2019, 08:26:09",Kudos,Aktivität,2918588246
"08.12.2019, 08:26:17",Kudos,Aktivität,2918597417
"21.12.2019, 13:37:23",Kudos,Aktivität,2946771147
"21.12.2019, 13:37:31",Kudos,Aktivität,2946623165
"21.12.2019, 13:37:41",Kudos,Aktivität,2945947624
"21.12.2019, 13:37:43",Kudos,Aktivität,2944149433
"21.12.2019, 13:37:48",Kudos,Aktivität,2944443559
"21.12.2019, 13:37:50",Kudos,Aktivität,2945947738
"21.12.2019, 14:21:55",Kudos,Aktivität,2933953894
"21.12.2019, 21:21:17",Kudos,Aktivität,2944735381
"21.12.2019, 21:21:25",Kudos,Aktivität,2944323702
"06.01.2020, 08:08:41",Kudos,Aktivität,2984027340
"06.01.2020, 08:10:00",Kudos,Aktivität,2985606361
"06.01.2020, 08:10:42",Kudos,Aktivität,2981244267
"06.01.2020, 08:11:10",Kudos,Aktivität,2977912654
"07.01.2020, 10:10:41",Kudos,Aktivität,2987584468
"12.01.2020, 18:32:32",Kudos,Aktivität,3005424085
"12.01.2020, 18:32:37",Kudos,Aktivität,3005525872
"12.01.2020, 18:32:53",Kudos,Aktivität,3005122392
"12.01.2020, 18:32:59",Kudos,Aktivität,3001798289
"19.01.2020, 18:39:41",Kudos,Aktivität,3025016723
"19.01.2020, 18:39:56",Kudos,Aktivität,3023123170
"19.01.2020, 18:40:10",Kudos,Aktivität,3024494858
"25.01.2020, 19:33:28",Kudos,Aktivität,3041377482
"25.01.2020, 19:34:30",Kudos,Aktivität,3042214629
"25.01.2020, 19:35:27",Kudos,Aktivität,3039856822
"25.01.2020, 19:35:30",Kudos,Aktivität,3039075452
